INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,INCLASS,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,HISP_REF,HISP2
0.2984499,0.311067,0.3049453,0.3106979,0.3058334,0.3111815,0.4153233,3671351,29,D,,A,1,4,D,1,D,1,D,11,D,,A,1,D,,A,4,D,7,D,0,D,30400,D,61688.896,0,D,1683,D,0,D,,A,0,D,12,D,0,D,0,D,22000,D,40,D,,A,8400,D,457,D,105,D,522,D,120,D,,A,5,,1,D,,A,,A,,A,0,T,3,D,0,D,5,D,3,,A,1,D,1,D,1,2,D,,A,1,4,2017,,A,,A,1,D,2,,A,,A,,A,52,D,,A,121068.085,,,109534.935,,,84419.19,,117427.379,,,111549.833,108311.081,102466.63,,97135.822,120978.185,124286.987,113712.988,110120.774,,,,101085.788,,92149.897,109598.814,134653.163,,,,,,110144.354,,,,104239.066,106865.683,,93050.45,,109569.59,125160.902,312.88,178.78,22.47,5.99,7.75,0,0,3.59,15,20,2.99,11.15,0,0,1.6,0,5.65,70.45,0,12.14,134.1,3.5,0,0,0,0,0,0,1,D,,A,3,D,6,25,D,367135,4,D,,A,0,D,30400,D,30400,30400,30400,30400,30400,100,0,D,0,0,0,0,0,0,D,0,D,700,D,700,700,700,700,700,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,22000,D,22000,22000,22000,22000,22000,100,D,8400,D,8400,8400,8400,8400,8400,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,11,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,1,5,1,
0.2989246,0.3115416,0.30542,0.3111726,0.3063081,0.3116562,0.4157979,3671352,29,D,,A,1,4,D,1,D,1,D,11,D,,A,1,D,,A,4,D,7,D,0,D,30400,D,61688.896,0,D,1683,D,0,D,,A,0,D,12,D,0,D,0,D,22000,D,40,D,,A,8400,D,457,D,105,D,522,D,120,D,,A,5,,1,D,,A,,A,,A,0,T,3,D,0,D,5,D,3,,A,1,D,1,D,1,2,D,,A,1,4,2017,,A,,A,2,D,2,,A,,A,,A,52,D,,A,121068.085,,,109534.935,,,84419.19,,117427.379,,,111549.833,108311.081,102466.63,,97135.822,120978.185,124286.987,113712.988,110120.774,,,,101085.788,,92149.897,109598.814,134653.163,,,,,,110144.354,,,,104239.066,106865.683,,93050.45,,109569.59,125160.902,95.06,43.91,0,3.69,21.99,0,0,0,0,1.99,2.99,3.29,0,3.69,0,0,0,2.28,0,3.99,51.15,0,0,0,0,0,0,20.01,1,D,,A,3,D,6,25,D,367135,4,D,,A,0,D,30400,D,30400,30400,30400,30400,30400,100,0,D,0,0,0,0,0,0,D,0,D,700,D,700,700,700,700,700,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,22000,D,22000,22000,22000,22000,22000,100,D,8400,D,8400,8400,8400,8400,8400,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,11,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,1,5,1,
0.5037416,0.5188554,0.5095934,0.511769,0.5124962,0.5119703,0.5953451,3671361,35,D,,A,1,1,D,1,D,1,D,12,D,,A,1,D,,A,1,D,8,D,0,D,54002,D,39581.546,0,D,4131,D,0,D,,A,0,D,,A,0,D,0,D,54000,D,40,D,,A,0,D,43,D,10,D,87,D,20,D,,A,5,,1,D,560,D,,A,,A,0,T,0,D,0,D,12,D,4,,A,2,D,1,D,1,1,D,,A,1,4,2017,1,D,1,D,1,D,2,,A,,A,,A,52,D,,A,66917.924,66105.564,,89410.08,,75552.27,84290.954,,,83341.691,,,99408.328,,75552.589,,,74229.384,73033.899,87919.169,,74883.865,74997.032,69336.079,67970.576,95241.975,,,,79299.738,,70175.41,77360.435,83288.97,,,,,,85396.539,,,,84060.554,130.2685,28.58,0,8.66,0,0,0,0,0,0,0,5,1.21,0,0,0,3.74,7.25,0,2.72,101.6885,28.5315,0,0,0,0,0,0,1,D,,A,0,D,8,42,D,367136,,A,,A,0,D,54002,D,54002,54002,54002,54002,54002,100,0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,54000,D,54000,54000,54000,54000,54000,100,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,2,D,2,2,2,2,2,100,2,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,2,5,2,
0.503437,0.5185509,0.5092888,0.5114644,0.5121916,0.5116657,0.5950405,3671362,35,D,,A,1,1,D,1,D,1,D,12,D,,A,1,D,,A,1,D,8,D,0,D,54002,D,39581.546,0,D,4131,D,0,D,,A,0,D,,A,0,D,0,D,54000,D,40,D,,A,0,D,43,D,10,D,87,D,20,D,,A,5,,1,D,560,D,,A,,A,0,T,0,D,0,D,12,D,4,,A,2,D,1,D,1,1,D,,A,1,4,2017,1,D,1,D,2,D,2,,A,,A,,A,52,D,,A,66917.924,66105.564,,89410.08,,75552.27,84290.954,,,83341.691,,,99408.328,,75552.589,,,74229.384,73033.899,87919.169,,74883.865,74997.032,69336.079,67970.576,95241.975,,,,79299.738,,70175.41,77360.435,83288.97,,,,,,85396.539,,,,84060.554,80.81504,20.06,0,2.19,0,0,0,0,4.45,0,0,4.14,0,0,0,2.29,0,0,2.99,4,60.75504,17.77496,0,0,0,0,0,22.24,1,D,,A,0,D,8,42,D,367136,,A,,A,0,D,54002,D,54002,54002,54002,54002,54002,100,0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,54000,D,54000,54000,54000,54000,54000,100,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,2,D,2,2,2,2,2,100,2,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,2,5,2,
0.5792056,0.728263,0.826084,0.3740467,0.4244638,0.2642156,0.1098219,3671381,56,D,,A,1,4,D,1,D,1,D,13,D,,A,5,D,,A,1,D,8,D,0,D,0,D,42068.226,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,60,D,,A,0,D,609,D,140,D,652,D,150,D,,A,5,,1,D,,A,,A,,A,0,T,0,D,0,D,12,D,1,,A,2,D,1,D,3,1,D,,A,1,4,2017,,A,2,D,1,D,2,,A,,A,,A,52,D,,A,,,,,,81511.661,72368.537,89652.933,,94996.954,,,,76600.978,77944.121,73651.558,82856.158,80011.173,,76788.074,82511.764,81341.1,,,77227.34,,75551.777,,,80330.544,82741.891,,86570.485,83742.22,,73233.288,,83402.458,72907.43,,,,75423.176,,137.7,80.95,3.54,1.8,7.24,7,6,0,8,0,2.79,3.9,0,1.5,4.15,17.49,3.25,10.5,0,3.79,56.75,0,0,0,0,0,0,28.31,1,D,,A,0,D,8,48,A,367138,,A,,A,0,D,64375.8,D,26606,42146,37522,123472,92133,202,14240.1,T,14240,14240,14240,14240,14240,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,36582.2,D,17263,8232,29765,87651,40000,201,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37B,13,0,D,9343,33914,7757,35821,52133,201,27794,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,3,2,
0.5755212,0.4848937,0.4722354,0.4561442,0.1534671,0.8791168,0.1158456,3671382,56,D,,A,1,4,D,1,D,1,D,13,D,,A,5,D,,A,1,D,8,D,0,D,0,D,42068.226,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,60,D,,A,0,D,609,D,140,D,652,D,150,D,,A,5,,1,D,,A,,A,,A,0,T,0,D,0,D,12,D,1,,A,2,D,1,D,3,1,D,,A,1,4,2017,,A,2,D,2,D,2,,A,,A,,A,52,D,,A,,,,,,81511.661,72368.537,89652.933,,94996.954,,,,76600.978,77944.121,73651.558,82856.158,80011.173,,76788.074,82511.764,81341.1,,,77227.34,,75551.777,,,80330.544,82741.891,,86570.485,83742.22,,73233.288,,83402.458,72907.43,,,,75423.176,,162.57,134.59,0,3.56,0,20.75,0,0,25.3,0,0,4,0,22.6,3.2,0,0,36.38,0,18.8,27.98,0,0,0,0,0,0,17.91,1,D,,A,0,D,8,48,A,367138,,A,,A,0,D,63768.2,D,156304,17040,46368,49324,49805,202,14240.1,T,14240,14240,14240,14240,14240,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,32234.2,D,25893,13374,41160,31968,48776,201,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37B,13,0,D,130411,3666,5208,17356,1029,201,31534,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,3,2,
0.4632086,0.4731933,0.4657335,0.4678153,0.4662617,0.4666004,0.5610304,3671391,46,D,54,D,1,1,D,1,D,2,D,10,D,10,D,3,D,1,D,4,D,3,D,0,D,48000,D,47655.55,0,D,3672,D,0,D,,A,0,D,,A,0,D,0,D,48000,D,35,D,40,D,0,D,435,D,100,D,652,D,150,D,,A,1,,2,D,,A,11,D,,A,0,T,2,D,0,D,10,D,1,1,,2,D,1,D,3,2,D,1,,1,4,2017,1,D,2,D,1,D,2,,A,,A,,A,52,D,50,D,144314.36,142706.741,116841.121,140663.465,,,,88764.227,,93188.828,119655.175,144393.567,,,,,,76303.344,,,,89956.179,106204.895,,80798.929,,88829.772,98830.157,,,87771.407,,,79657.093,,82379.622,,,70882.262,122251.733,115734.932,,86958.321,131267.188,93.7357,45.91,0,0.99,0,0,0,0,0,0,8,2.99,3,3.85,1.32672,1.67328,2.4,2.71,0,18.97,47.8257,0,0,0,5.48727,0,0,0,1,D,,A,4,D,7,48,D,367139,1,D,1,D,0,D,48000,D,48000,48000,48000,48000,48000,100,0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,48000,D,48000,48000,48000,48000,48000,100,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37A,11,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,4,1,1
0.4628419,0.4728266,0.4653668,0.4674486,0.4658951,0.4662337,0.5606637,3671392,46,D,54,D,1,1,D,1,D,2,D,10,D,10,D,3,D,1,D,4,D,3,D,0,D,48000,D,47655.55,0,D,3672,D,0,D,,A,0,D,,A,0,D,0,D,48000,D,35,D,40,D,0,D,435,D,100,D,652,D,150,D,,A,1,,2,D,,A,11,D,,A,0,T,2,D,0,D,10,D,1,1,,2,D,1,D,3,2,D,1,,1,4,2017,1,D,2,D,2,D,2,,A,,A,,A,52,D,50,D,144314.36,142706.741,116841.121,140663.465,,,,88764.227,,93188.828,119655.175,144393.567,,,,,,76303.344,,,,89956.179,106204.895,,80798.929,,88829.772,98830.157,,,87771.407,,,79657.093,,82379.622,,,70882.262,122251.733,115734.932,,86958.321,131267.188,50.02,24.39,0,1.2,0,0,2.96,0,0,0,0,0,8,4.68,0,2.6,0.68,2.42,0,1.85,25.63,0.74,0,0,0,0,0,0,1,D,,A,4,D,7,48,D,367139,1,D,1,D,0,D,48000,D,48000,48000,48000,48000,48000,100,0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,48000,D,48000,48000,48000,48000,48000,100,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37A,11,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,4,1,1
0.4340872,0.441862,0.4343925,0.4370224,0.4369674,0.4395307,0.5366938,3671421,31,D,,A,1,4,D,1,D,1,D,15,D,,A,2,D,,A,2,D,7,D,1237,D,44000,D,43022.874,0,D,3366,D,0,D,,A,0,D,,A,0,D,0,D,44000,D,43,D,,A,0,D,217,D,50,D,217,D,50,D,2300,D,4,,1,D,,A,,A,,A,2300,T,1,D,0,D,3,D,4,,A,2,D,1,D,2,2,D,,A,1,4,2017,,A,1,D,1,D,2,,A,,A,,A,52,D,,A,70185.572,84810.041,,,,87085.249,76519.526,,100377.735,,71161.759,85784.475,,,88780.725,,,106316.357,,90060.718,,,98271.913,70093.497,79008.356,,76011.031,86801.811,84744.61,83348.742,80818.053,,,,79868.46,,88916.099,85144.186,78295.278,,,,,,196.09,187.09,0,10.98,70,2.99,6.97,7,3,0,10.58,17.99,0,19.21,10,1.59,0,8.22,0,18.56,9,100.23,7.39,0,0,0,0,24.22,1,D,,A,3,D,7,55,D,367142,,A,,A,1237,D,44000,D,44000,44000,44000,44000,44000,100,0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,44000,D,44000,44000,44000,44000,44000,100,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,5,2,
0.4344183,0.442193,0.4347236,0.4373534,0.4372984,0.4398617,0.5370248,3671422,31,D,,A,1,4,D,1,D,1,D,15,D,,A,2,D,,A,2,D,7,D,1237,D,44000,D,43022.874,0,D,3366,D,0,D,,A,0,D,,A,0,D,0,D,44000,D,43,D,,A,0,D,217,D,50,D,217,D,50,D,2300,D,4,,1,D,,A,,A,,A,2300,T,1,D,0,D,3,D,4,,A,2,D,1,D,2,2,D,,A,1,4,2017,,A,1,D,2,D,2,,A,,A,,A,52,D,,A,70185.572,84810.041,,,,87085.249,76519.526,,100377.735,,71161.759,85784.475,,,88780.725,,,106316.357,,90060.718,,,98271.913,70093.497,79008.356,,76011.031,86801.811,84744.61,83348.742,80818.053,,,,79868.46,,88916.099,85144.186,78295.278,,,,,,71.99999,71.99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.99999,0,32,0,0,0,0,0,0,0,0,1,D,,A,3,D,7,55,D,367142,,A,,A,1237,D,44000,D,44000,44000,44000,44000,44000,100,0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,44000,D,44000,44000,44000,44000,44000,100,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,5,2,
