NEWID,Age,Education,Income_AT,Expenses,Housing,Food,Transport,Entertainment,Apparel,Health Spending,Personal Insurance
3566504,26,14,90691.9,11869.75,3739,1690,3771,42,120,993,1319.7501
3566514,62,14,63421,7753,3689,1365,772,465,0,280,747
3566534,54,15,-191620.6,77432.75,24224.75,3931,5536,4191,538,5208,6865
3566544,39,12,136908,16488.75,2593,3640,3351,1151,142,104,3070.7499
3566624,43,15,54347.4,8518.3,2733.5,1885,2805,0,0,0,1022.7999
3566634,60,13,127208.6,18100.3,11116,3055,335,385,0,540,2669.3001
3566644,51,15,25620,7138.75,1467,2560,1748,299,150,0,554.7501
3566664,87,13,11882.4,1510,450,910,0,0,60,90,0
3566704,87,13,16501,5143.35,2370,1235,278,288,0,753,219.3501
3566714,79,10,63684.1,4356.95,2192,1027,0,0,0,767,370.95
3566754,26,15,66242.4,11952.5,4085,2210,1725,265,190,0,3087.5001
3566764,56,15,160288.2,99687.26,22385.5,1578,28215,1835,583,1570,37916.76
3566784,56,10,19248,5084,3174,650,195,218,75,0,0
3566864,49,15,123651.6,21384.35,6966,2490,1445,1094,0,4356,4668.3501
3566924,46,15,46353.4,11547.4,5961,3120,300,183,0,1047,936.3999
3566934,27,15,13155.4,7949,4324,1346,1158,106,105,0,0
3566944,81,14,26405,8305,2033,1170,1152,248,113,2123,462
3566954,50,15,49013.8,10543.05,4640,2795,920,254,74,220,945.0501
3566984,66,15,169487.6,22798.337,8372,1590,2856,473,53,5767,3109.3368
3567004,62,13,36311,9291.55,2220,2730,750,333,345,2250,663.5499
3567034,26,15,35217.2,8252.6,1773,1600,3693,60,479,0,641.6001
3567044,46,13,22882,7143.25,3413,1040,895,204,45,1131,235.2498
3567074,45,16,185251.6,35759.5,15879.75,5850,2578,1970,1073,1500,4608.75
3567094,51,15,129034.4,22772.6,12180,1324,3190,536,168,1128,3300.6
3567154,76,12,20592,6377,1929,845,1888,196,37,1083,0
3567204,56,16,166905.6,16406.337,7408,2990,888,288,630,681,3109.3368
3567224,75,14,21894,4182,1542,905,203,239,0,1128,0
3567234,65,10,36558.8,5663.7,3589,130,1030,105,0,78,501.6999
3567244,26,11,20590,3404.25,2217,481,54,0,24,0,513.2499
