INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,INCLASS,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,HISP_REF,HISP2
0.7042865,0.706457,0.6995134,0.7056709,0.7090336,0.7075167,0.7635987,3608891,27,D,,A,1,1,D,1,D,1,D,14,D,,A,1,D,,A,1,D,8,D,0,D,89097,D,37126.799,2025,D,6816,D,0,D,,A,0,D,,A,0,D,0,D,89095,D,40,D,,A,0,D,478,D,110,D,652,D,150,D,,A,5,,1,D,,A,,A,,A,0,T,0,D,0,D,3,D,3,,A,2,D,1,D,4,1,D,,A,1,1,2017,1,D,2,D,1,D,2,,A,,A,,A,52,D,,A,79607.957,68557.084,68011.034,65612.131,,73720.328,72788.991,69322.637,66591.277,68436.324,,,,64296.479,,76426.038,80022.567,70032.557,,,,,,83994.089,,,,71092.496,78354.086,,68095.124,,76535.687,61584.444,,,76064.32,,,82179.379,,76088.781,,,28.8,26.95,2.67,0,0,0,0,0,0,0,2.67,5.14,7.24,2.06,0,0,0,3.17,0,4,1.85,0,0,19.56,0,0,0,0,1,D,,A,0,D,9,49,D,360889,,A,,A,0,D,89097,D,89097,89097,89097,89097,89097,100,0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,89095,D,89095,89095,89095,89095,89095,100,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,2,D,2,2,2,2,2,100,2,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,8,5,2,
0.7045734,0.706744,0.6998003,0.7059578,0.7093205,0.7078036,0.7638856,3608892,27,D,,A,1,1,D,1,D,1,D,14,D,,A,1,D,,A,1,D,8,D,0,D,89097,D,37126.799,2025,D,6816,D,0,D,,A,0,D,,A,0,D,0,D,89095,D,40,D,,A,0,D,478,D,110,D,652,D,150,D,,A,5,,1,D,,A,,A,,A,0,T,0,D,0,D,3,D,3,,A,2,D,1,D,4,1,D,,A,1,2,2017,1,D,2,D,2,D,2,,A,,A,,A,52,D,,A,79607.957,68557.084,68011.034,65612.131,,73720.328,72788.991,69322.637,66591.277,68436.324,,,,64296.479,,76426.038,80022.567,70032.557,,,,,,83994.089,,,,71092.496,78354.086,,68095.124,,76535.687,61584.444,,,76064.32,,,82179.379,,76088.781,,,114.67,92.92,13.97,12.44,0,0,0,0,0,0,7.81,7.4,6.31,0.91,2.58,2.04,0,0,0,39.46,21.75,0,0,0,0,0,0,9.63,1,D,,A,0,D,9,49,D,360889,,A,,A,0,D,89097,D,89097,89097,89097,89097,89097,100,0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,89095,D,89095,89095,89095,89095,89095,100,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,2,D,2,2,2,2,2,100,2,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,8,5,2,
0.2567366,0.2720627,0.2602606,0.2635081,0.2730571,0.2664413,0.375717,3608901,53,D,,A,1,1,D,1,D,1,D,12,D,,A,1,D,,A,1,D,8,D,0,D,26000,D,54986.024,0,D,1989,D,0,D,,A,0,D,,A,0,D,0,D,26000,D,40,D,,A,0,D,109,D,25,D,130,D,30,D,,A,3,,1,D,,A,,A,,A,0,T,0,D,0,D,1,D,3,,A,2,D,1,D,2,2,D,,A,1,1,2017,1,D,1,D,1,D,2,,A,,A,,A,48,D,,A,,97631.988,86345.367,105879.033,,91572.573,102822.77,119028.709,,,128777.579,,98779.887,,,127057.046,121512.53,,102216.262,110792.623,,98806.065,,117873.97,86398.384,,,,114752.776,,,,,,128677.94,123447.107,98859.781,,124108.295,,,,112614.441,90472.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D,,A,0,D,5,31,D,360890,,A,,A,0,D,26000,D,26000,26000,26000,26000,26000,100,0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,26000,D,26000,26000,26000,26000,26000,100,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,4,3,2,
0.2563117,0.2716378,0.2598356,0.2630831,0.2726322,0.2660164,0.3752921,3608902,53,D,,A,1,1,D,1,D,1,D,12,D,,A,1,D,,A,1,D,8,D,0,D,26000,D,54986.024,0,D,1989,D,0,D,,A,0,D,,A,0,D,0,D,26000,D,40,D,,A,0,D,109,D,25,D,130,D,30,D,,A,3,,1,D,,A,,A,,A,0,T,0,D,0,D,1,D,3,,A,2,D,1,D,2,2,D,,A,1,1,2017,1,D,1,D,2,D,2,,A,,A,,A,48,D,,A,,97631.988,86345.367,105879.033,,91572.573,102822.77,119028.709,,,128777.579,,98779.887,,,127057.046,121512.53,,102216.262,110792.623,,98806.065,,117873.97,86398.384,,,,114752.776,,,,,,128677.94,123447.107,98859.781,,124108.295,,,,112614.441,90472.158,36.36,11.59,1,2.15,0,0,0,0,0,0,4.78,0,0,0,0,0,0,1.68,0,1.98,24.77,0,0,0,3.76,0,0,0,1,D,,A,0,D,5,31,D,360890,,A,,A,0,D,26000,D,26000,26000,26000,26000,26000,100,0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,26000,D,26000,26000,26000,26000,26000,100,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,4,3,2,
0.3468126,0.3603435,0.3451452,0.350655,0.3647802,0.3548229,0.4589076,3608921,56,D,,A,1,4,D,1,D,1,D,15,D,,A,1,D,,A,1,D,8,D,0,D,35000,D,49358.961,0,D,2678,D,0,D,,A,0,D,,A,0,D,0,D,35000,D,55,D,,A,0,D,174,D,40,D,217,D,50,D,,A,3,,1,D,,A,,A,,A,0,T,0,D,0,D,1,D,3,,A,2,D,1,D,2,1,D,,A,1,1,2017,,A,1,D,1,D,2,,A,,A,,A,10,D,,A,,101075.317,67659.614,95515.262,107108.648,,72519.486,109751.319,98323.515,,,85714.085,,88025.764,,,102902.322,105664.469,,100772.281,103768.342,,96246.089,,97413.642,93909.257,,,,99114.512,,,,,,96323.35,102233.494,90494.052,,95437.13,,,,82868.557,28.5,22.56,1.89,0,10.06,0,0,0,0,2.33,0,3.48,0,1.6,0,0,0,0,0,3.2,5.94,0,0,0,0,0,0,0,1,D,,A,0,D,6,20,D,360892,,A,,A,0,D,35000,D,35000,35000,35000,35000,35000,100,0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,35000,D,35000,35000,35000,35000,35000,100,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,4,3,2,
0.3479841,0.361515,0.3463167,0.3518265,0.3659517,0.3559945,0.4600792,3608922,56,D,,A,1,4,D,1,D,1,D,15,D,,A,1,D,,A,1,D,8,D,0,D,35000,D,49358.961,0,D,2678,D,0,D,,A,0,D,,A,0,D,0,D,35000,D,55,D,,A,0,D,174,D,40,D,217,D,50,D,,A,3,,1,D,,A,,A,,A,0,T,0,D,0,D,1,D,3,,A,2,D,1,D,2,1,D,,A,1,1,2017,,A,1,D,2,D,2,,A,,A,,A,10,D,,A,,101075.317,67659.614,95515.262,107108.648,,72519.486,109751.319,98323.515,,,85714.085,,88025.764,,,102902.322,105664.469,,100772.281,103768.342,,96246.089,,97413.642,93909.257,,,,99114.512,,,,,,96323.35,102233.494,90494.052,,95437.13,,,,82868.557,24.76,18.09,0,5.1,0,0,0,0,0,0,0,5.3,0,0,0,5.38,2.31,0,0,0,6.67,9.55,3.46,0,0,0,0,0,1,D,,A,0,D,6,20,D,360892,,A,,A,0,D,35000,D,35000,35000,35000,35000,35000,100,0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,35000,D,35000,35000,35000,35000,35000,100,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,4,3,2,
0.7348507,0.7334053,0.7279546,0.7325,0.734379,0.7370039,0.7881182,3608931,34,D,38,D,1,1,D,1,D,2,D,15,D,15,D,5,D,1,D,3,D,3,D,0,D,95500,D,24323.292,0,D,7115,D,0,D,,A,0,D,,A,0,D,0,D,83000,D,8,D,40,D,0,D,478,D,110,D,609,D,140,D,,A,1,,2,D,450,D,1,D,,A,0,T,1,D,0,D,5,D,2,1,,2,D,1,D,2,2,D,1,,1,1,2017,2,D,3,D,1,D,2,,A,,A,,A,52,D,42,D,,39834.944,23266.126,,38556.749,42980.294,39725.812,,,41616.163,,45947.187,,,46285.16,44074.403,,43869.546,40987.899,,41480.173,,44650.36,42816.124,,,,42222.076,,,,,,50667.86,49350.934,34568.483,,44209.706,,,,48546.455,49019.588,47705.243,159.79,122.5,2.68,8.05,7.78,0,4.98,10.96,0,0.83,3.83,11.33,9.7,8.83,8.39476,7.13524,0,5.88,0,32.12,37.29,29.4,0,6.99,0,0,61.91,6.02,1,D,,A,3,D,9,27,D,360893,,A,,A,0,D,95500,D,95500,95500,95500,95500,95500,100,7115,D,7115,7115,7115,7115,7115,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,83000,D,83000,83000,83000,83000,83000,100,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S24A,15,5000,D,5000,5000,5000,5000,5000,100,5000,,A,,A,300,D,300,300,300,300,300,100,300,,A,,A,,A,,,,,,100,,,A,,A,7200,D,7200,7200,7200,7200,7200,100,7200,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,D,A,A,4,5,2,2
0.7346627,0.7332173,0.7277666,0.732312,0.734191,0.7368159,0.7879302,3608932,34,D,38,D,1,1,D,1,D,2,D,15,D,15,D,5,D,1,D,3,D,3,D,0,D,95500,D,24323.292,0,D,7115,D,0,D,,A,0,D,,A,0,D,0,D,83000,D,8,D,40,D,0,D,478,D,110,D,609,D,140,D,,A,1,,2,D,450,D,1,D,,A,0,T,1,D,0,D,5,D,2,1,,2,D,1,D,2,2,D,1,,1,1,2017,2,D,3,D,2,D,2,,A,,A,,A,52,D,42,D,,39834.944,23266.126,,38556.749,42980.294,39725.812,,,41616.163,,45947.187,,,46285.16,44074.403,,43869.546,40987.899,,41480.173,,44650.36,42816.124,,,,42222.076,,,,,,50667.86,49350.934,34568.483,,44209.706,,,,48546.455,49019.588,47705.243,229.63001,211.62001,5.67,22.47,11.14,2.99,4.98,7.06306,0,0.88,4.13,20.89,14.02,20.89849,14.14492,14.29107,6.82662,7.79,0,53.43585,18.01,86.36,12.04544,5.99,60.29,0,7.67,32.40218,1,D,,A,3,D,9,27,D,360893,,A,,A,0,D,95500,D,95500,95500,95500,95500,95500,100,7115,D,7115,7115,7115,7115,7115,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,83000,D,83000,83000,83000,83000,83000,100,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S24A,15,5000,D,5000,5000,5000,5000,5000,100,5000,,A,,A,300,D,300,300,300,300,300,100,300,,A,,A,,A,,,,,,100,,,A,,A,7200,D,7200,7200,7200,7200,7200,100,7200,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,D,A,A,4,5,2,2
0.3584295,0.2524917,0.3309864,0.6132759,0.3228884,0.2347527,0.0054489,3608951,64,D,71,D,1,3,D,,B,1,D,12,D,11,D,1,D,,A,2,D,1,D,0,D,0,D,44853.07,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,20,D,,A,0,D,0,D,0,D,0,D,0,D,,A,1,,1,D,,A,,A,,A,0,T,0,D,1,D,10,D,1,4,,2,D,1,D,4,1,D,2,,1,2,2017,1,D,,A,1,D,2,,A,,A,1,D,52,D,0,D,,86487.975,89716.089,,,,83199.441,,,,,,93448.831,106663.377,95911.82,,96778.246,,,,95637.751,97589.962,112513.725,100073.362,94861.518,,83306.315,81499.002,88173.714,,,103193.853,,86728.983,,,86492.659,95955.15,,90041.421,96807.553,,88939.915,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D,,A,0,D,6,6,A,360895,,A,,A,0,D,36400.4,D,22811,30695,71583,33305,23608,201,0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,36400.4,D,22811,30695,71583,33305,23608,201,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,217,,A,,A,,A,,A,,A,,A,S49A,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,9,3,1,2
0.3140409,0.1001434,0.2377473,0.4170107,0.5754354,0.1508018,0.0078122,3608952,64,D,71,D,1,3,D,,B,1,D,12,D,11,D,1,D,,A,2,D,1,D,0,D,0,D,44853.07,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,20,D,,A,0,D,0,D,0,D,0,D,0,D,,A,1,,1,D,,A,,A,,A,0,T,0,D,1,D,10,D,1,4,,2,D,1,D,4,1,D,2,,1,2,2017,1,D,,A,2,D,2,,A,,A,1,D,52,D,0,D,,86487.975,89716.089,,,,83199.441,,,,,,93448.831,106663.377,95911.82,,96778.246,,,,95637.751,97589.962,112513.725,100073.362,94861.518,,83306.315,81499.002,88173.714,,,103193.853,,86728.983,,,86492.659,95955.15,,90041.421,96807.553,,88939.915,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D,,A,0,D,6,6,A,360895,,A,,A,0,D,31085.2,D,15351,62662,42498,23845,11070,201,0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0,D,0,0,0,0,0,100,0,D,0,0,0,0,0,100,31085.2,D,15351,62662,42498,23845,11070,201,D,0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,217,,A,,A,,A,,A,,A,,A,S49A,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,9,3,1,2
